address,area,Sum of avg_order_value,Sum of customer_id,customer_name,customer_segment,email,Sum of phone,Sum of pincode,Year,Quarter,Month,Day,Sum of total_orders
"10, Chana Street, Thiruvananthapuram-939172",Durgapur,309.43,32656885,Xiti Sane,New,nyadav@example.net,918698992003,278727,2023,Qtr 3,August,1,1
"10, Sangha Street, Bharatpur-212237",Gandhidham,501.27,10418604,Xavier Agrawal,New,lopaagrawal@example.org,919789289354,850794,2024,Qtr 2,April,11,15
"10/038
Subramanian Chowk
Begusarai 041864",Mehsana,1382.39,8817168,Lajita Sharma,Inactive,gaurang89@example.net,919052032703,294382,2023,Qtr 3,August,19,7
"10/107
Bhandari
Kishanganj 048249",Mau,890.77,74572121,Triveni Baral,Inactive,advaith31@example.net,916254742593,562013,2024,Qtr 3,August,20,15
"10/49
Kanda Zila, Arrah-883000",Pondicherry,325.65,94281220,Teerth Balan,Regular,xdubey@example.net,914426947273,185375,2024,Qtr 2,May,5,1
"10/82
Sur Zila
Dibrugarh 044825",Cuttack,857.13,4594944,Hardik Mane,Inactive,abduldara@example.org,914830114630,599557,2024,Qtr 1,March,26,12
"101, Upadhyay
Nagaon 684099",Thane,206.87,77903462,Madhavi Pandya,Inactive,chanakyabhattacharyya@example.org,913900038945,224382,2024,Qtr 3,September,20,19
"102, Chopra Ganj, Korba-838479",Kolhapur,1245.36,46313756,Widisha Desai,Premium,nakul82@example.net,911818880064,449091,2023,Qtr 1,March,26,10
"103, Mahajan Circle
Silchar 256345",Mira-Bhayandar,281.16,67749649,Oviya Mitra,Inactive,aaravdugar@example.com,919890802849,222577,2024,Qtr 2,April,10,11
"106
Bhatt Street, Jamshedpur 915471",Ratlam,1249.15,33741801,Girindra Nadig,New,quincy72@example.com,914542185729,626892,2024,Qtr 1,January,27,16
"109, Bose Path
Bharatpur 828807",Sagar,993.78,80419534,Gunbir Pandey,Premium,baradvihaan@example.com,913927367437,841623,2024,Qtr 1,January,2,19
"11
Kaul Path, Berhampore 085176",Tenali,1454.3,41155125,Yahvi Doshi,Inactive,daliaoviya@example.com,918695302072,82916,2024,Qtr 2,April,22,14
"11
Sarraf
Bahraich 857642",Arrah,1311.81,86294036,Chatresh Rajagopalan,Inactive,harshilbansal@example.org,917097259617,824264,2023,Qtr 3,July,13,13
"11, Balakrishnan Marg
Motihari-662977",Proddatur,928.3,14693393,Chavvi Iyer,New,kannanvedant@example.com,910080313064,496205,2024,Qtr 2,May,24,14
"11, Kar Zila
Pondicherry-026892",Bettiah,989.49,50899600,Frado Arya,New,kthakur@example.com,919208580722,87102,2023,Qtr 4,November,15,1
"11, Sura Chowk
Hajipur-950505",Bhiwandi,714.21,22020776,Manan Banerjee,Regular,zpal@example.net,912470348352,681898,2023,Qtr 2,May,23,10
"11/03
Dada Chowk
Rajpur Sonarpur 110283",Katni,1685.52,51812283,Vasana Rajagopalan,Regular,ucchal05@example.org,919130860126,474877,2024,Qtr 1,March,14,6
"11/091, Roy Ganj, Tirunelveli-404174",Rajpur Sonarpur,1125.96,85869195,Kashish Nigam,Regular,rajagopalansudiksha@example.net,916550563624,313275,2024,Qtr 3,July,10,2
"11/16
Sridhar Street
Meerut-931911",Kozhikode,1463.73,67302239,Tanvi Bajaj,Regular,gpal@example.net,910053909621,525311,2023,Qtr 4,October,29,7
"11/294, Chander Zila, Ambarnath-944366",Hindupur,1670.28,22076522,Chaaya Andra,Regular,baniklila@example.org,916122081552,271246,2024,Qtr 2,May,13,5
"11/37, Sahni Street, Madurai 667472",Guwahati,1587.05,49970560,Pallavi Rao,Regular,aryan83@example.net,912045584381,787564,2023,Qtr 4,October,17,15
"11/390
Bava Path, Bhiwani-791996",Karawal Nagar,1361.12,84456355,Avi Ratti,New,kallamaya@example.com,914569997056,536746,2023,Qtr 3,September,26,2
"11/75, Khanna Marg, Ludhiana 820421",Silchar,1268.29,75632045,Shivansh Sharaf,Regular,minhasjacob@example.org,919720360185,207255,2023,Qtr 3,August,10,15
"11/76
Sura Road, Malda 325015",Gorakhpur,426.97,75244116,Jai Suri,Inactive,sanaya74@example.com,911899928562,112503,2023,Qtr 4,October,9,10
"11/78
Dugal Street
Orai 801891",Medininagar,1406.97,97411107,Udarsh Sandhu,New,janaki58@example.net,917134127881,970183,2024,Qtr 3,July,26,18
"11/864
Ganesan Nagar
Thoothukudi 654016",Aizawl,680.11,32830199,Abhimanyu Suri,Premium,kalaarya@example.com,916646218510,531804,2024,Qtr 3,August,27,2
"11/88, Iyengar Nagar, Fatehpur-638408",Noida,1765.93,51556553,Hitesh Bakshi,Premium,sunderkrish@example.org,911365981359,187126,2024,Qtr 1,February,5,6
"110, Dass Zila, Fatehpur 117215",Shahjahanpur,976.71,66932104,Chakradhar Dhawan,Premium,patlaatharv@example.com,910995494446,219750,2023,Qtr 4,October,19,3
"112
Buch Marg, Nanded 682578",Hyderabad,839.31,96629034,Raghav Nayak,Premium,bchahal@example.org,911204887543,769553,2024,Qtr 2,April,27,10
"116, Korpal Ganj
Junagadh 903149",Singrauli,740.4,12591752,Zilmil Krishna,Inactive,ukant@example.org,918759648216,711091,2023,Qtr 2,May,28,14
"119
Seth Nagar
Mumbai 912897",Kharagpur,1237.57,37633848,Samuel Banerjee,Premium,shettyfaris@example.com,917563731259,622019,2023,Qtr 3,August,27,20
"12, Manda Path, Rajkot-918686",Ambarnath,1484.9,88434834,Chandresh Pingle,Premium,dayita84@example.net,914549013650,852789,2023,Qtr 4,October,25,19
"12, Rao Chowk, Bhatpara 780850",Anand,491.28,52862822,Aarini Khosla,Regular,ysaran@example.com,913923024029,618615,2024,Qtr 3,July,16,14
"12/11, Kala Circle
Amroha 185767",Jodhpur,1551.39,52032226,Jagvi Choudhury,Premium,shivanimani@example.com,918058971158,921195,2023,Qtr 3,August,26,19
"12/15, Jha Ganj, Adoni-465226",Sasaram,321.43,46088132,Benjamin Ramanathan,New,ssahota@example.com,916494151052,881157,2024,Qtr 2,May,9,13
"12/217
Doshi Marg, Nashik 384774",Kirari Suleman Nagar,719.77,22483684,Gautami Dar,Regular,vanya27@example.net,910394383371,70737,2024,Qtr 1,March,5,20
"12/239
Keer Chowk
Nagercoil-980113",Siliguri,691.64,75467328,Warhi Ravel,Inactive,priyakar@example.com,910295745726,966869,2023,Qtr 2,April,7,14
"12/240, Barad Ganj
Hajipur 503025",Salem,1655.49,44174426,Girindra Nair,New,wazirsanghvi@example.org,915848023986,133683,2024,Qtr 3,July,2,20
"12/41, Uppal
Aizawl-053988",Danapur,1245.73,63368244,Jeevika Tara,New,rkapur@example.net,910657846620,905945,2024,Qtr 3,August,1,19
"12/820, Radhakrishnan Ganj
Aligarh-496495",Medininagar,360.91,73639935,Urvi Deo,Inactive,talwargautami@example.com,910653605570,528705,2023,Qtr 3,September,21,10
"12/949
Loyal Ganj
Ambattur 535978",Chinsurah,231.38,23567263,Yatan Sem,New,hitesh51@example.net,914338654718,96950,2024,Qtr 3,August,11,14
"12/95
Bhavsar Circle, Faridabad 252485",Kadapa,1476,83867512,Aarush Samra,Inactive,rayvasudha@example.org,912014611501,693161,2024,Qtr 2,June,22,18
"123, Manda Circle, Dehradun 286985",Berhampore,365.4,99893898,Vedant Master,New,forumwable@example.com,916100269271,893327,2023,Qtr 4,November,22,16
"127
Korpal Street, Kakinada 138460",Srinagar,1453.68,25706121,Baghyawati Toor,Premium,thomas08@example.com,918493699952,466303,2024,Qtr 1,March,3,12
"129, Seth, Mirzapur 807650",Jodhpur,664.85,58513300,Hemal Mammen,Premium,farajwason@example.org,915425118250,245873,2023,Qtr 3,September,25,1
"13
Garde
Coimbatore-135385",Ratlam,889.72,90745023,Samarth Sathe,Inactive,gillkritika@example.com,912233599200,300261,2023,Qtr 4,October,28,12
"13
Kaul Road
Kulti-440393",Amravati,579.91,89223620,Udyati Malhotra,Inactive,raaginimitter@example.net,913113813116,487205,2023,Qtr 3,July,21,17
"13
Rege Zila
Gulbarga-345640",Surendranagar Dudhrej,1678.4,53332493,Anirudh Bose,New,kamya09@example.org,912245627338,54821,2023,Qtr 2,June,30,19
"13, Bahl Marg, South Dumdum 584867",Coimbatore,294.2,82134278,Jeremiah Jha,Premium,ekanimorar@example.net,911559303814,897757,2023,Qtr 4,October,7,4
"13/08
Toor Circle
Dindigul-600955",Pudukkottai,498.21,29415527,Abha Behl,Regular,yastidin@example.net,915501942609,675974,2024,Qtr 2,April,22,11
"13/269
Mohanty Marg, Amaravati 212523",Mango,1487.94,63349378,William Sangha,Regular,aradhanahalder@example.com,918598411350,965143,2024,Qtr 3,August,1,14
"131
Dixit Path
Nashik-762279",Raipur,802.85,83267752,Om Choudhury,New,gaurav60@example.net,910158143195,51420,2023,Qtr 3,September,25,13
"131, Sundaram Ganj, Jamnagar 024377",Anantapur,1918.04,78847070,Gauri Ramakrishnan,Inactive,priyasura@example.net,915959080534,478537,2023,Qtr 3,July,27,12
"132
Amble Ganj, Pimpri-Chinchwad-532902",Pune,1693.63,5418547,Qushi Devi,Regular,swaminathanshaurya@example.org,917170962386,122989,2023,Qtr 3,August,27,20
"132
Walla, Secunderabad 502542",Raebareli,1377.27,59110513,Chaaya Mody,Inactive,choudharyjagrati@example.org,913293933121,594217,2023,Qtr 2,June,16,12
"138, Dewan Circle
Kolkata-153958",Darbhanga,635.99,9987182,Tristan Hegde,Regular,devansh88@example.org,911484654463,35650,2024,Qtr 3,August,21,8
"14
Bhagat Path
Shivpuri 856011",Rajpur Sonarpur,704.14,4606533,Anusha Bhagat,Premium,triya55@example.org,917200860742,696982,2024,Qtr 3,July,30,11
"14, Andra Chowk
Kolhapur 212015",Hapur,1050.74,69088723,Triveni Nori,New,yvaidya@example.com,912846355544,547704,2024,Qtr 4,October,12,8
"14, Salvi Nagar, Giridih 525156",Aligarh,1861.73,21425168,Gavin Panchal,New,banjeetchoudhary@example.org,910575864244,189621,2023,Qtr 3,August,11,5
"14/029
Rajan
Shimoga-387010",Madanapalle,1475.23,99594960,Amaira Tak,Inactive,inarang@example.net,918945188793,446417,2023,Qtr 2,June,12,16
"14/24
Tandon Path, Madurai 446998",Gwalior,1636.27,36737539,Leena Naidu,Inactive,harinakshi40@example.net,912870152408,671833,2024,Qtr 1,February,6,9
"14/344
Malhotra Road, Ahmedabad-019006",Jamnagar,1539.15,28663279,Sai Bhatia,Premium,xchoudhry@example.org,912901668937,321770,2023,Qtr 1,March,30,6
"14/351, Agarwal Path
Medininagar 636193",Vellore,327.93,45477575,Aarna Bawa,Inactive,kondajagdish@example.com,912719661653,117423,2024,Qtr 1,January,5,4
"14/45, Mander Path
Narasaraopet 297200",Bhilwara,1729.83,34761418,Nitesh De,New,faraj44@example.net,916028349053,401933,2024,Qtr 3,August,19,6
"14/54
Banik
Kirari Suleman Nagar-412785",Panihati,1449.4,53292177,Tanmayi Vyas,Inactive,eesha65@example.com,918129263598,635480,2024,Qtr 4,October,27,3
"14/652
Ganesan Nagar, Patna-892135",Jehanabad,850.2,19682060,Hamsini Swamy,Inactive,vedhikasawhney@example.net,917542713658,273810,2024,Qtr 1,February,12,4
"14/790, Ramesh Nagar
Amravati 506114",Kadapa,590.36,95768401,Jyoti Pau,Inactive,varughesedayamai@example.org,912484526832,760525,2024,Qtr 4,November,3,8
"14/904, Bal Path
Jehanabad 025610",Shivpuri,1209.16,48481702,Dayita Kothari,Regular,upadhyaylohit@example.org,910285913474,351248,2024,Qtr 2,June,15,4
"14/926
Goswami Nagar
Bhiwani-379094",Bathinda,1468.32,40275138,Eiravati Thaker,Inactive,umangbabu@example.net,913593061474,833704,2024,Qtr 1,January,5,18
"14/995, Aurora Chowk, Unnao-559200",Mau,1065.84,86045277,Umang Pai,New,ykeer@example.org,918185828105,229457,2024,Qtr 3,August,15,8
"140, Mannan Circle
Nashik-798110",Kottayam,1134.6,49881540,Xalak Muni,Inactive,avni70@example.net,917714808042,59206,2024,Qtr 3,September,13,10
"141
Rajan Zila, Satara 705516",Rampur,1915.85,92306841,Dakshesh Kalita,New,balhaarbath@example.com,913526124313,778285,2024,Qtr 1,February,9,10
"144
Gokhale Nagar, Bhalswa Jahangir Pur 956383",Warangal,567.1,14079305,Jeevika Narain,Premium,rattiikshita@example.org,919580725986,702601,2024,Qtr 3,September,8,17
"145
Roy Ganj
Madhyamgram 070455",Amritsar,835.09,62971413,Baljiwan Agrawal,Inactive,zayanmenon@example.org,916320225850,853732,2023,Qtr 4,October,2,18
"145, Apte Street
Orai-869408",Patiala,245.46,48943848,Tarak Nair,Premium,atwalmeghana@example.org,914393489828,993533,2024,Qtr 2,June,21,13
"145, Arora Ganj
Karaikudi-304218",Agra,1193.57,6459100,Shivansh Mand,Premium,gaurav29@example.com,910122930874,85316,2024,Qtr 4,October,4,19
"145, Bumb Street
Bidar 474547",Asansol,1788.42,95001589,Dayamai Bhasin,Regular,darika48@example.org,916133118331,376431,2024,Qtr 3,August,23,20
"149
Baria Chowk
Indore 240558",Mehsana,1110.01,33706378,Michael Dugar,New,cherianchakradev@example.org,918729359769,601242,2023,Qtr 3,September,2,16
"149
Pall Path, Aurangabad-876025",Bardhaman,1474.04,48910430,Janani Prasad,Premium,abhirambabu@example.com,918550270063,125846,2024,Qtr 3,September,4,3
"15
Sabharwal Marg, Aurangabad 966257",Hospet,307.03,49433260,Abhiram Wason,Premium,fdevan@example.com,919416031730,246851,2024,Qtr 2,May,20,17
"15
Shankar Circle
Danapur-131817",Bongaigaon,1187.65,84953008,Sai Pal,Inactive,rattayashvi@example.net,911940931765,290142,2024,Qtr 3,September,9,3
"15, Sethi Zila, Noida-862506",Khandwa,1136.03,37551429,Diya Chand,Regular,tbaria@example.net,915961358441,773280,2023,Qtr 1,March,22,6
"15/52
Khare Path
Sirsa 885319",Anand,1977.36,51833636,Ikbal Munshi,Regular,leela67@example.net,917514521835,255774,2024,Qtr 1,March,3,3
"15/686, Sarin Road, Baranagar-665391",Amroha,1764.18,61015113,Dalaja Choudhury,Regular,jaggionveer@example.com,918885353111,471074,2023,Qtr 4,November,17,4
"15/73
Bail Path, Hapur 816836",Jalandhar,719.47,71767248,Shivani Khurana,New,nazarethraagini@example.net,918036828655,966465,2024,Qtr 4,November,1,4
"15/74
Dutta Circle, Faridabad-491312",Haridwar,636.83,69364309,Bhavini Chokshi,Regular,atimunshi@example.com,918588590346,55710,2024,Qtr 3,September,22,6
"151, Parmer Ganj
Loni 906431",Kavali,1541.22,71688530,Umang Dash,Regular,gokhalenicholas@example.org,917595275963,528749,2024,Qtr 1,March,18,1
"152
Karan
Bathinda-640398",Machilipatnam,413.46,95269737,Aarini Vora,Regular,tmitra@example.com,915485561082,468669,2024,Qtr 1,March,10,19
"155, Bal Zila
Hyderabad-668727",Narasaraopet,438.19,84361534,Ansh Agrawal,Regular,ayush35@example.net,916376339108,332324,2024,Qtr 3,July,24,1
"156, Ramanathan Road
Alappuzha 776848",Bathinda,934.37,90696847,Balendra Choudhary,Regular,vyanjanasharma@example.com,915378909010,695228,2023,Qtr 3,September,19,6
"159, Sahni Circle, Panihati 063296",Bhilai,932.85,35349582,Raksha Kalla,Premium,qvohra@example.net,911616073929,563148,2024,Qtr 1,January,28,6
"16
Vaidya Ganj
Sangli-Miraj & Kupwad 799068",Amaravati,1678.84,92203470,Chatresh Narula,Regular,vshanker@example.net,913010851160,432216,2023,Qtr 4,November,10,17
"16/09
Setty Nagar, Gopalpur 225399",Anantapuram,945.18,1588560,Jeremiah Nath,New,faqidswaminathan@example.org,911110614819,900047,2023,Qtr 4,December,1,10
"16/10, Seshadri, Tenali-896132",Kharagpur,515.07,10210309,Deepa Dewan,Inactive,sagarjagdish@example.com,918039932264,318476,2024,Qtr 2,May,8,13
"16/282
Dar Street, Suryapet 965764",Kishanganj,1097.78,99490786,Ayush Biswas,New,frederickkale@example.org,914042785224,47845,2023,Qtr 3,September,23,15
"16/46
Karan Nagar, Karaikudi 841373",Naihati,1603.14,36517334,Ria Dua,Premium,akshay40@example.com,919591362787,886615,2024,Qtr 1,March,30,19
"16/48, Dyal, Morena 865201",Suryapet,1488.42,70230254,Hamsini Sandhu,New,aachalsheth@example.net,916745836473,377043,2023,Qtr 4,December,24,14
"16/55, Anne Path, Kurnool-471739",Amroha,1002.88,56457995,Turvi Venkataraman,Inactive,anya55@example.com,911701858284,306136,2024,Qtr 1,January,1,6
"16/718, Kanda Chowk, Meerut 856894",Tinsukia,1802.63,18642306,Wazir Bahl,Inactive,jsunder@example.com,913151999184,877253,2023,Qtr 4,December,21,12
"16/72, Jhaveri Road
Hubli–Dharwad 657248",Hazaribagh,1892.51,3410758,Qabil Salvi,Regular,gandhibhavya@example.net,918055425835,293062,2023,Qtr 3,July,16,1
"16/77
Basak Marg, Lucknow 740421",Bhilwara,1202.1,11202130,Zehaan Lad,Premium,vnarayan@example.org,914186545390,854285,2023,Qtr 4,November,28,20
"16/77, Kuruvilla Road
Jamalpur-474745",Indore,1530.95,10745302,Yochana Shukla,Premium,jaigrover@example.net,916832908358,49444,2023,Qtr 4,October,26,5
"166
Batra, Pudukkottai 869970",Hajipur,1614.59,13581527,Jhalak Kalla,New,saanvimammen@example.org,915270846145,786331,2024,Qtr 2,June,1,10
"166
Choudhry Path, Kulti-308225",Fatehpur,1096.12,90649019,Omaja Sahni,New,meera84@example.org,917564348738,578000,2023,Qtr 2,April,7,18
"167, Oommen Marg, Katihar-142018",Dehradun,452.1,42589311,Yadavi Uppal,Regular,sureshwahab@example.org,918756937201,176202,2023,Qtr 4,November,29,11
"168
Balay Street, Allahabad-779838",Ambala,1786.5,12415659,Damini Wagle,New,omamol@example.net,911297232886,813277,2024,Qtr 2,May,30,10
"168, Bala Circle
Vijayawada 590467",Patna,897.32,57081965,Daksha Mutti,Regular,chaman40@example.org,917025021525,779376,2024,Qtr 4,October,14,7
"17
Kurian Ganj
Durgapur 843749",Nandyal,1924.53,38327793,Yug Brar,Inactive,wallachandran@example.net,918327565210,506488,2024,Qtr 2,May,4,12
"17/04
Balakrishnan Nagar, Raiganj 562478",Bhalswa Jahangir Pur,938.29,6812439,Vasana Mand,Premium,prakashvrinda@example.net,919206751723,940482,2024,Qtr 4,October,17,1
"17/31, Dora Chowk
Erode-651124",Kota,806.62,3421258,Ishita Chaudhuri,Premium,tara78@example.com,915568926763,192064,2024,Qtr 2,June,19,19
"17/381
Ramaswamy Circle
Sambalpur 187850",Arrah,1238.72,50518311,Arunima Tak,Regular,umangdate@example.net,917739965877,183905,2024,Qtr 3,August,31,16
"17/59, Dutta Street, Siwan 346894",Patiala,1137.83,12088552,Aditya Barman,Premium,draj@example.org,912767114555,82581,2023,Qtr 2,April,17,3
"17/71, Hegde Road, Rajpur Sonarpur 453198",Delhi,1923.29,94850985,Isaac Anne,New,unnati97@example.org,912623368002,80190,2023,Qtr 4,November,8,8
"17/829, Garg Circle, Kirari Suleman Nagar 040091",Shahjahanpur,376.5,83610315,Nachiket Roy,Inactive,wsangha@example.net,918837467840,632904,2023,Qtr 3,July,31,16
"17/83, Kant Marg, Kadapa-463586",Sikar,1124.25,64906311,Balendra Pandey,Inactive,ijaya32@example.net,912253335610,417724,2024,Qtr 3,July,26,10
"17/902
Mital Road
Kharagpur-793062",Pimpri-Chinchwad,1118.82,5763963,Chandran Seth,Regular,yashoda79@example.net,914781329513,773179,2023,Qtr 1,March,30,12
"176, Krishnamurthy
Ramgarh 170370",Bettiah,1858.8,2875442,Arunima Vyas,Premium,buchayushman@example.net,915969178797,68994,2023,Qtr 3,July,19,19
"177
Bath Road, Rajpur Sonarpur 549727",Baranagar,664.22,39999278,Chandresh Khare,New,agarwalladli@example.org,911677869657,594349,2024,Qtr 3,August,2,8
"179, Sekhon Ganj
Gurgaon-532079",Bokaro,1597.83,1479065,Keya Grover,New,vbalakrishnan@example.org,912569948550,717396,2024,Qtr 1,February,9,17
"18
Bala Zila, Katni 101174",Jalna,1981.09,66742602,Yatan Uppal,New,hchakraborty@example.net,913358190164,749857,2023,Qtr 3,July,1,14
"18
Master Zila
Miryalaguda 319766",Ballia,1441.64,59207798,Chakrika Bhargava,Premium,omlopa@example.org,912674586312,78765,2023,Qtr 3,July,2,4
"18
Peri Nagar, Ambattur 659851",Bellary,1769.15,39957741,Siddharth Sibal,Inactive,ksinha@example.org,914455548748,883836,2023,Qtr 4,November,5,11
"18
Ramakrishnan Ganj
Gurgaon 134787",Begusarai,811.77,82025691,Zaid Boase,Regular,hsaran@example.net,911896756292,407090,2023,Qtr 2,June,24,17
"18, Chokshi Zila
Panvel-924958",Jehanabad,1810.06,93370787,Oni Sahota,New,mallmichael@example.org,911129508937,701319,2024,Qtr 4,October,16,10
"18, Sura
Ratlam 964051",Burhanpur,1953.37,91566278,Keya Chadha,Premium,gdeo@example.net,912704173257,161156,2024,Qtr 3,September,24,5
"18/11
Balakrishnan Marg
Vellore-979843",Guntakal,1259.49,60446619,Yashvi Kar,Regular,hsaha@example.com,911720595499,797149,2024,Qtr 2,June,15,20
"18/209
Bumb Circle
Amravati-268871",Bulandshahr,1160.55,8025622,Daksh Bali,Regular,xraju@example.org,919133188884,177515,2024,Qtr 1,March,14,15
"18/375, Ramachandran Circle
Karnal 455818",Pali,1144.9,4378755,Oscar Ratta,Premium,wguha@example.com,916824800377,583209,2023,Qtr 4,November,10,2
"18/45
Parikh Zila, Davanagere 786763",Baranagar,963.43,25081012,Mohammed Oak,New,bhavanikara@example.net,911577199377,218441,2023,Qtr 4,December,24,1
"18/571, Choudhury Path
Kishanganj-139131",Jalna,1167.45,37379797,Aashi Majumdar,Inactive,omkaarmemon@example.org,918469785566,627760,2024,Qtr 3,August,24,6
"18/61, Shere Ganj
Amaravati-935529",Jhansi,710.2,90621147,Vaishnavi Chowdhury,Premium,oeshibhatnagar@example.org,916604113829,334137,2024,Qtr 4,October,5,2
"18/71
Gulati Marg
Karnal 644806",Rewa,374.67,60300263,Sathvik Jani,New,omishasood@example.org,910932690331,314082,2023,Qtr 4,October,7,8
"18/80, Lad, Bhalswa Jahangir Pur 775594",Haridwar,1681.58,28277304,Chaitanya Mann,Inactive,hemalall@example.com,915423222756,159776,2024,Qtr 1,February,14,14
"18/938, Pai Marg
Aurangabad 807716",Coimbatore,551.81,77220027,Aryan Krish,Premium,agatedaksh@example.com,912081733998,387538,2023,Qtr 4,December,11,16
"185
Bobal Ganj
Aurangabad 817825",Vijayanagaram,477.1,48368085,Patrick Doctor,Premium,mmittal@example.com,913029667256,418461,2024,Qtr 4,October,31,5
